state	year	agency	scode	area	po-total	ps-popgw	ps-popsw	ps-popto	ps-wgwfr	ps-wswfr	ps-wtofr	ps-wgwsa	ps-wswsa	ps-wsato	ps-total	ps-loss	ps-deliv	ps-prcap	ps-facil	ps-facdb	co-wgwfr	co-wswfr	co-wtotl	co-psdel	co-total	co-cuse	do-sspop	do-ssgwf	do-ssswf	do-sstot	do-sspcp	do-pspop	do-psdel	do-pspcp	do-total	do-cuse	in-wgwfr	in-wgwsa	in-wgwto	in-wswfr	in-wswsa	in-wswto	in-wtofr	in-wtosa	in-wtotl	in-recww	in-psdel	in-total	in-cufr	in-cusal	in-cuse	in-facil	in-facdb	pt-wgwfr	pt-wswfr	pt-wswsa	pt-wswto	pt-frtot	pt-wtotl	pt-psdel	pt-total	pt-cufr	pt-cusal	pt-cuse	pt-power	pt-facil	pt-facdb	pf-wgwfr	pf-wswfr	pf-wswsa	pf-wswto	pf-frtot	pf-wtotl	pf-psdel	pf-total	pf-cufr	pf-cusal	pf-cuse	pf-power	pf-facil	pf-facdb	pg-wgwfr	pg-wgwsa	pg-wtotl	pg-cufr	pg-cusal	pg-power	pg-facil	pg-facdb	pn-wgwfr	pn-wswfr	pn-wswsa	pn-wswto	pn-frtot	pn-wtotl	pn-psdel	pn-total	pn-cufr	pn-cusal	pn-cuse	pn-power	pn-facil	pn-facdb	mi-wgwfr	mi-wgwsa	mi-gwtot	mi-wswfr	mi-wswsa	mi-swtot	mi-frtot	mi-satot	mi-total	mi-cufr	mi-cusal	mi-cuse	ls-gwtot	ls-swtot	ls-total	ls-cuse	la-gwtot	la-swtot	la-total	la-cuse	lv-gwtot	lv-swtot	lv-total	lv-cuse	ir-wgwfr	ir-wswfr	ir-recww	ir-frtot	ir-spray	ir-flood	ir-irrig	ir-convy	ir-cuse	hy-total	hy-power	hy-facil	hy-facdb	ww-facpu	ww-facot	ww-facil	ww-retrn	ww-facdb	ww-recww	re-evap	re-area	to-gwfr	to-gwsal	to-gwtot	to-swfr	to-swsal	to-swtot	to-frtot	to-satot	to-total	to-recww	to-cufr	to-cusal	to-cuse	to-convy
AL	1985	USGS	01	001	34.30	26.86	0.00	26.86	3.55	0.00	3.55	0.00	0.00	0.00	3.55	0.00	3.55	132.17	0.00	0.00	0.02	0.00	0.02	0.36	0.38	0.08	7.44	0.56	0.00	0.56	75.27	26.86	2.98	110.95	3.54	0.77	2.02	0.00	2.02	25.00	0.00	25.00	27.02	0.00	27.02	0.00	0.21	27.23	5.99	0.00	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.20	0.47	0.32	0.00	0.00	0.00	0.00	0.27	0.20	0.47	0.32	0.04	0.36	0.00	0.40	0.89	0.00	0.89	0.00	0.30	0.00	0.00	0.00	0.00	2.00	0.00	2.00	3.60	0.00	0.00	0.00	0.00	6.46	0.00	6.46	25.56	0.00	25.56	32.02	0.00	32.02	0.00	7.46	0.00	7.46	0.00
AL	1985	USGS	01	003	88.90	80.08	0.00	80.08	9.09	0.00	9.09	0.00	0.00	0.00	9.09	0.00	9.09	113.51	0.00	0.00	0.16	0.00	0.16	0.91	1.07	0.24	8.82	0.66	0.00	0.66	74.83	80.08	7.60	94.91	8.26	1.19	0.09	0.00	0.09	0.00	0.00	0.00	0.09	0.00	0.09	0.00	0.58	0.67	0.15	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.06	0.00	0.00	0.00	0.00	0.06	0.06	0.00	0.06	0.06	0.48	0.33	0.81	0.54	0.00	0.00	0.00	0.00	0.48	0.33	0.81	0.54	7.00	3.76	0.00	10.76	28.90	0.00	28.90	0.00	8.06	0.00	0.00	0.00	0.00	7.00	0.00	7.00	4.74	0.00	0.00	0.00	0.00	17.48	0.06	17.54	4.09	0.00	4.09	21.57	0.06	21.63	0.00	10.18	0.06	10.24	0.00
AL	1985	USGS	01	005	25.50	25.39	0.00	25.39	3.10	0.00	3.10	0.00	0.00	0.00	3.10	0.00	3.10	122.10	0.00	0.00	0.00	0.00	0.00	0.31	0.31	0.07	0.11	0.01	0.00	0.01	90.91	25.39	2.57	101.22	2.58	0.19	0.01	0.00	0.01	0.34	0.00	0.34	0.35	0.00	0.35	0.00	0.22	0.57	0.13	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.47	1.20	0.72	0.00	0.00	0.00	0.00	0.73	0.47	1.20	0.72	0.14	1.37	0.00	1.51	4.06	0.00	4.06	0.00	1.13	0.00	0.00	0.00	0.00	7.00	0.00	7.00	2.13	0.00	0.00	0.00	0.00	3.99	0.00	3.99	2.18	0.00	2.18	6.17	0.00	6.17	0.00	2.24	0.00	2.24	0.00
AL	1985	USGS	01	007	16.80	15.15	0.00	15.15	1.43	0.00	1.43	0.00	0.00	0.00	1.43	0.00	1.43	94.39	0.00	0.00	0.00	0.00	0.00	0.14	0.14	0.03	1.65	0.12	0.00	0.12	72.73	15.15	1.22	80.53	1.34	0.21	0.01	0.00	0.01	0.19	0.00	0.19	0.20	0.00	0.20	0.00	0.07	0.27	0.06	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.01	0.46	0.21	0.67	0.29	0.00	0.00	0.00	0.00	0.46	0.21	0.67	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.70	0.00	0.00	0.00	0.00	2.03	0.00	2.03	0.40	0.00	0.40	2.43	0.00	2.43	0.00	0.60	0.00	0.60	0.00
AL	1985	USGS	01	009	37.00	12.12	8.33	20.45	1.21	1.00	2.21	0.00	0.00	0.00	2.21	0.00	2.21	108.07	0.00	0.00	0.01	0.00	0.01	0.22	0.23	0.05	16.55	1.24	0.00	1.24	74.92	20.45	1.93	94.38	3.17	1.38	0.83	0.00	0.83	0.00	0.00	0.00	0.83	0.00	0.83	0.00	0.06	0.89	0.20	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.04	0.00	0.00	0.00	0.04	0.00	0.04	0.04	0.00	0.04	0.94	0.34	1.28	1.26	0.00	0.00	0.00	0.00	0.94	0.34	1.28	1.26	0.09	0.83	0.00	0.92	2.10	0.00	2.10	0.00	0.69	0.00	0.00	0.00	0.00	2.00	0.00	2.00	2.30	0.00	0.00	0.00	0.00	4.36	0.00	4.36	2.17	0.00	2.17	6.53	0.00	6.53	0.00	3.62	0.00	3.62	0.00
AL	1985	USGS	01	011	10.70	10.50	0.00	10.50	1.47	0.00	1.47	0.00	0.00	0.00	1.47	0.00	1.47	140.00	0.00	0.00	0.00	0.00	0.00	0.15	0.15	0.03	0.20	0.02	0.00	0.02	100.00	10.50	0.84	80.00	0.86	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.48	0.11	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.35	0.95	0.50	0.00	0.00	0.00	0.00	0.60	0.35	0.95	0.50	0.08	0.24	0.00	0.32	0.44	0.00	0.44	0.00	0.24	0.00	0.00	0.00	0.00	2.00	0.00	2.00	1.23	0.00	0.00	0.00	0.00	2.17	0.00	2.17	0.59	0.00	0.59	2.76	0.00	2.76	0.00	0.96	0.00	0.96	0.00
AL	1985	USGS	01	013	22.20	17.46	0.00	17.46	1.87	0.00	1.87	0.00	0.00	0.00	1.87	0.00	1.87	107.10	0.00	0.00	0.01	0.00	0.01	0.19	0.20	0.04	4.74	0.35	0.00	0.35	73.84	17.46	1.38	79.04	1.73	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.30	0.07	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.23	0.66	0.56	0.00	0.00	0.00	0.00	0.43	0.23	0.66	0.56	0.01	0.08	0.00	0.09	0.42	0.00	0.42	0.00	0.07	0.00	0.00	0.00	0.00	2.00	0.00	2.00	2.18	0.00	0.00	0.00	0.00	2.67	0.00	2.67	0.31	0.00	0.31	2.98	0.00	2.98	0.00	1.19	0.00	1.19	0.00
AL	1985	USGS	01	015	124.60	116.66	7.74	124.40	19.91	1.01	20.92	0.00	0.00	0.00	20.92	0.00	20.92	168.17	0.00	0.00	0.00	0.00	0.00	2.09	2.09	0.46	0.20	0.01	0.00	0.01	50.00	124.40	12.83	103.14	12.84	0.91	0.79	0.00	0.79	0.00	0.00	0.00	0.79	0.00	0.79	0.00	6.00	6.79	1.49	0.00	1.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.17	0.52	0.48	0.00	0.00	0.00	0.00	0.35	0.17	0.52	0.48	0.00	0.32	0.00	0.32	0.61	0.00	0.61	0.00	0.24	4191.94	155.04	0.00	0.00	5.00	0.00	5.00	11.15	0.00	0.00	0.00	0.00	21.06	0.00	21.06	1.50	0.00	1.50	22.56	0.00	22.56	0.00	3.58	0.00	3.58	0.00
AL	1985	USGS	01	017	40.40	0.00	36.43	36.43	0.00	4.50	4.50	0.00	0.00	0.00	4.50	0.00	4.50	123.52	0.00	0.00	0.12	0.00	0.12	0.45	0.57	0.13	3.97	0.30	0.00	0.30	75.57	36.43	2.72	74.66	3.02	0.49	0.00	0.00	0.00	15.53	0.00	15.53	15.53	0.00	15.53	0.00	1.33	16.86	3.71	0.00	3.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.37	1.14	0.49	0.00	0.00	0.00	0.00	0.77	0.37	1.14	0.49	0.00	0.15	0.00	0.15	0.29	0.00	0.29	0.00	0.11	0.00	0.00	0.00	0.00	3.00	0.00	3.00	4.44	0.00	0.00	0.00	0.00	1.19	0.00	1.19	20.55	0.00	20.55	21.74	0.00	21.74	0.00	4.93	0.00	4.93	0.00
AL	1985	USGS	01	019	20.10	0.18	9.59	9.77	0.05	0.50	0.55	0.00	0.00	0.00	0.55	0.00	0.55	56.29	0.00	0.00	0.06	0.00	0.06	0.06	0.12	0.03	10.33	0.77	0.00	0.77	74.54	9.77	0.44	45.04	1.21	0.80	0.00	0.00	0.00	0.07	0.00	0.07	0.07	0.00	0.07	0.00	0.05	0.12	0.03	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.14	0.32	0.30	0.00	0.00	0.00	0.00	0.18	0.14	0.32	0.30	0.00	0.87	0.00	0.87	1.95	0.00	1.95	0.00	0.65	3708.16	162.36	0.00	0.00	2.00	0.00	2.00	0.34	0.00	0.00	0.00	0.00	1.06	0.00	1.06	1.58	0.00	1.58	2.64	0.00	2.64	0.00	1.81	0.00	1.81	0.00
